time,T,RH,light
2017-08-31 01:00:00-08:00,27.8,80,0
2017-08-31 01:15:00-08:00,27.655113636363637,80,0
2017-08-31 01:30:00-08:00,27.5,80,0
2017-08-31 01:45:00-08:00,27.344886363636363,80,0
2017-08-31 02:00:00-08:00,27.2,80,0
2017-08-31 02:15:00-08:00,27.077397017045453,80,0
2017-08-31 02:30:00-08:00,26.96775568181818,80,0
2017-08-31 02:45:00-08:00,26.849236505681816,80,0
2017-08-31 03:00:00-08:00,26.7,80,0
2017-08-31 03:15:00-08:00,26.467842371323528,80,0
2017-08-31 03:30:00-08:00,26.16112132352941,80,0
2017-08-31 03:45:00-08:00,25.84883961397059,80,0
2017-08-31 04:00:00-08:00,25.6,80,0
2017-08-31 04:15:00-08:00,25.397058823529413,80,0
2017-08-31 04:30:00-08:00,25.20294117647059,80,0
2017-08-31 04:45:00-08:00,25.05735294117647,80,0
2017-08-31 05:00:00-08:00,25.0,80,0
2017-08-31 05:15:00-08:00,25.04955357142857,80,0
2017-08-31 05:30:00-08:00,25.182142857142857,80,0
2017-08-31 05:45:00-08:00,25.373660714285716,80,0
2017-08-31 06:00:00-08:00,25.6,80,1
2017-08-31 06:15:00-08:00,25.97321428571429,80,1
2017-08-31 06:30:00-08:00,26.542857142857144,80,1
2017-08-31 06:45:00-08:00,27.191071428571433,80,1
2017-08-31 07:00:00-08:00,27.8,80,1
2017-08-31 07:15:00-08:00,28.329375,80,1
2017-08-31 07:30:00-08:00,28.845,80,1
2017-08-31 07:45:00-08:00,29.388125000000002,80,1
2017-08-31 08:00:00-08:00,30.0,80,1
2017-08-31 08:15:00-08:00,30.719296874999998,80,1
2017-08-31 08:30:00-08:00,31.533125,80,1
2017-08-31 08:45:00-08:00,32.405390624999995,80,1
2017-08-31 09:00:00-08:00,33.3,80,1
2017-08-31 09:15:00-08:00,34.24181827910958,80,1
2017-08-31 09:30:00-08:00,35.2427654109589,80,1
2017-08-31 09:45:00-08:00,36.24732983732876,80,1
2017-08-31 10:00:00-08:00,37.2,80,1
2017-08-31 10:15:00-08:00,38.20125790305585,80,1
2017-08-31 10:30:00-08:00,39.245135230066744,80,1
2017-08-31 10:45:00-08:00,40.116444942044254,80,1
2017-08-31 11:00:00-08:00,40.6,80,1
2017-08-31 11:15:00-08:00,40.775152972027975,80,1
2017-08-31 11:30:00-08:00,40.890792540792546,80,1
2017-08-31 11:45:00-08:00,40.98603583916085,80,1
2017-08-31 12:00:00-08:00,41.1,80,1
2017-08-31 12:15:00-08:00,41.244886363636354,80,1
2017-08-31 12:30:00-08:00,41.4,80,1
2017-08-31 12:45:00-08:00,41.555113636363636,80,1
2017-08-31 13:00:00-08:00,41.7,80,1
2017-08-31 13:15:00-08:00,41.85482954545455,80,1
2017-08-31 13:30:00-08:00,42.01818181818182,80,1
2017-08-31 13:45:00-08:00,42.14744318181819,80,1
2017-08-31 14:00:00-08:00,42.2,80,1
2017-08-31 14:15:00-08:00,42.2,80,1
2017-08-31 14:30:00-08:00,42.2,80,1
2017-08-31 14:45:00-08:00,42.2,80,1
2017-08-31 15:00:00-08:00,42.2,80,1
2017-08-31 15:15:00-08:00,42.164488636363636,80,1
2017-08-31 15:30:00-08:00,42.06363636363637,80,1
2017-08-31 15:45:00-08:00,41.90596590909092,80,1
2017-08-31 16:00:00-08:00,41.7,80,1
2017-08-31 16:15:00-08:00,40.87543777943368,80,1
